Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Maxx By Rudy Hadisuwarno,Maxx by Rudy Hadisuwarno,Kecantikan (salon),Franchise,165jt,Sudirman Park B21-23 KH Mas Mansyur Kav 35 - Jakarta,021-579443705,,,,
I Can Read,PT Bina Literasi Indonesia,Pendidikan,Franchise,300jt,Ruko Sentra Niaga Blok T2 No.15 Jakarta,021-55794630,,,,
Cyber World,Cyberworld Network Indonesia (CNI),Entertainment,BO,A. 1.2-1.6jt B.700-800jt C.350jt,jl. Tanjung Duren Kav. VI no. 542 Jakarta Barat 11470,021-56969999,,,,
Kiddoz School,PT Kiddoz School,Pendidikan Formal,Franchise,200jt,Jl. Jaya Negara No.20 Mojokerto,0321-320418,,,,
Little Annie Yogurt,CV HWK Media Utama,F&B,BO,"8,8-15jt",Kadin Bandung Business Center Jl. Telaga Bodas No.31 Bandung,022-91930550,,,,
Sajadah Ceria,Sajadah Ceria,Sajadah/Kaos Baju Anak,Keagenan,Rp. 500rb,Pondok Manggala A2 No.16 Surabaya,031-7662030,,,,
Teh que dan Segara Tea,CV Amanah Que,F&B,BO,4-6jt,Jl. Praja Dalam E RT12/02 No.45A kebayoran Lama Jakarta,021-97734265/021-92236165,,,,
Tasty Kebab,Tasty kebab,F&B,BO,"7,5-12jt",Kemang sari 3 No.53 Jati Agung 1 Pondok Gede Bekasi,021-98278193,,,,
Pecel Pincuk Madiun Srimping,Pecel Pincuk Madiun Srimping,F&B,BO,20-30jt,Komp. Bulog Yanatera 14 No.28 Jatowarna Pondok Gede Bekasi,021-93846527,,,,
Little Baghdad,PT Little Baghdad Internusa,F&B,BO,n/a,Jl. Kemang 1/72 Jakarta,021-7181944,,,,
Dr - Inkjet,JPG Technology,Inkjet Refill Center,BO,10jt,Jl.Pondok Mas Raya No.12 & 28 Baros Cimahi,022-6629863,,,,
Mie Ayam Abadi Serpong,Mie Ayam Abadi Serpong,F&B,kemitraan,n/a,Jl. Raya Serpong No.5 Jakarta,021-5375935,,,,
Raja Bebek Bakar,Raja Bebek Bakar,"Resto, Rumah Makan dan Warung Kaki Lima",Franchise,10-15jt,Jl. H. Mencong Gg. Ahmad Mo.79 RT02/13 Penggilingan Timur Ciledug Tangerang Banten,021-71097816,,,,
Fresh Binatu,CV Andala Kuat Perkasa,Laundry,Franchise,800jt,Jl.Manyar 64 Surabaya,031-5024070,,,,
Crispy Jameela,CV Ripras Makmur Abadi,F&B,BO,7jt,Jl. Dukuh Kumpang Barat 10 No.4 Surabaya,031-71479810,,,,
Semerbak Coffee,Semerbak Coffee,Kuliner Minuman,BO,7jt,Jl. Nusantara 27 Depok,021-28982853,,,,
IKI OKE,PT Makanan Sehat Nusantara,Seafood Siap Saji,BO,"7,5jt",Gd. Menara Hijau Lt.5 Jl. MT. Haryono Kav 33 Jakarta,021-79186272,,,,
Brown Salon,PT Rudy Hadisuwarno,Salon Kecantikan,Franchise,n/a,Sudirman Park B21-23 Jl. KH Mas Mansyur Kav 35 Jakarta,021-57943705,,,,
Excelso Express,PT Excelso Multi Rasa Waralaba,Kedai kopi,Franchise,"250jt-1,5M",Jl. KH Hasyim Ashari Komp. Roxy Mas Blok C2 No.38-39 Jakarta Barat,021-6326352,,,,
Bakmi Mada,PT. Raos Aneka Pangan,Bakmi,Franchise,Rp.50jt - Rp. 500jt,Jl. Raya Kodam Bintaro Permai No.9R - Tangerang,021-33432008,,,,
Kedai Extra Pedas,Kedai Extra Pedas,F&B,Franchise,40jt,Perum Griya Satria II Blok H12 Kalisari Sumampir Purwokerto,0281-7937228,,,,
Mr. Piss,CV EFFA INDOBOGA,F&B,BO,6jt,Tambak Bayan III No.12 Yogjakarta,0274-489654,,,,
Body Protector,Body Protector,Produsen Jaket Motor,Kemitraan,n/a,Jl.Anggrek Garuda Blok D1 No.19 Kemanggisan Jakarta,021-70920005,,,,
Jolly Time Popcorn,PT Libra Lestari,Makanan,BO,3-15jt,Jl. Raya Srengseng No.8K-L Jakarta Barat 11630,021-58900099,,,,
Bakso Kepala Sapi,PT MM Food and BV,F&B,Franchise,n/a,Mananggal V/4 - Surabaya,031-8283474,,,,
Digitallapan,PT Mampang 8 Cipta Karya,Souvenir Merchandise,BO,75jt,Jl.Mampang Prapatan VIII No.62 Jakarta Selatan,021-79182289,,,,
Century Health Care,PT Century Franchise Utama,Apotek,Franchise,300-400jt,Jl.Limo No.40 Jakarta,021-53676758,,,,
Edam Burger,Edam,F&B,BO,"2,5-100jt",Jl. Malaka Raya No.84 Klender Jakarta Timur,021-86606902,,,,
Malibu 62 Studio,CV Malibu 62 Studio,Foto Studio,Franchise,190jt,Jl.Raya Barat Boulevard Blok LC-7 No.62 Kelapa Gading Jakarta,021-4514723,,,,
Primagama English,PT Lingua Global PRima,Kursus Bahasa Inggris,Kerjasama usaha,270-350jt,"Jl.Godean Km5,6 Demak Jogjakarta",0274-621896,,,,
